S.no,Name,Party,Constituency
1,Sohail Mansoor Khawaja (Chairman),MQM,NA-240
2,Mr Shehryar Afridi,PTI,NA-14
3,Mr Bilal Rehman,IND,NA-36
4,Mr Sajid Hussain Turi,IND,NA-37
5,Chudhary Hamid Hameed,PML(N),NA-66
6,Syed Muhammad Ashiq Hussain Shah,PML(N),NA-145
7,Muhammad Moeen Wattoo,PML(N),NA-147
8,Abdul Rehman Khan Kanju,PML(N),NA-155
9,Muhammad Khan Daha,PML(N),NA-157
10,Sardar Muhammad Amjad Farooq Khan Khosa,PML(N),NA-171
11,Malik Sultan Mehmood Hanjra,PML(N),NA-176
12,Mir Shabbir Ali Bijarani,PPPP,NA-209
13,Rafique Ahmed Jamali,PPPP,NA-232
15,Dr. Ramesh Kumar Vankwani,PML(N),(Minority)
16,Bhawan Das,PML(N),(Minority)
17,Aaisha Gulalai,PTI,(Women)
18,Aasiya Nasir,JUI-F,(Minority)
19,Iffat Liaqat,PML(N),(Women)
20,Amra Khan,PML(N),(Women)
